id,qkey,name,groups
1,Q1,نافع,
2,R1_1,قالون عن نافع,
3,R1_2,ورش عن نافع,
4,Q2,ابن كثير,
5,R2_1,البزي عن ابن كثير,
6,R2_2,قنبل عن ابن كثير,
7,Q3,أبو عمرو,
8,R3_1,الدوري عن أبي عمرو,
9,R3_2,السوسي عن أبي عمرو,
10,Q4,ابن عامر,
11,R4_1,هشام عن ابن عامر,
12,R4_2,ابن ذكوان عن ابن عامر,
13,Q5,عاصم,
14,R5_1,شعبة عن عاصم,
15,R5_2,حفص عن عاصم,
16,Q6,حمزة,
17,R6_1,خلف عن حمزة,
18,R6_2,خلاد عن حمزة,
19,Q7,الكسائي,
20,R7_1,أبو الحارث عن الكسائي,
21,R7_2,الدوري عن الكسائي,
22,Q8,أبو جعفر,
23,R8_1,ابن وردان عن أبي جعفر,
24,R8_2,ابن جماز عن أبي جعفر,
25,Q9,يعقوب,
26,R9_1,رويس عن يعقوب,
27,R9_2,روح عن يعقوب,
28,Q10,خلف العاشر,
29,R10_1,إسحق عن خلف,
30,R10_2,إدريس عن خلف,
