id,tag,description,qarees,category
1,meemsela,صلة ميم الجمع وصلا,,
2,sakt2,السكت على الساكن قبل الهمزة,,
3,waqfh1,تغيير الهمزة المتوسطة لحمزة وقفا,,
4,waqfh2,تسهيل الهمزة المتوسطة بزائد لحمزة وقفا (وإذا، ولأتم),,
5,ishmam,الإشمام بأنواعه,,
6,ishmams,إشمام الصاد صوت الزاي في (الصراط وصراط،),,
7,haadam,ضم هاء ضمير الجمع والمثنى,,
8,haaakasr,كسر هاء ضمير الجمع والمثنى,,
9,idgham,الإدغام بنوعَيْه,,
10,idghak,الإدغام الكبير,,
11,raatarkek,ترقيق الراء,,
12,lamtaghlez,تغليظ اللام,,
13,haasokon,إسكان الهاء,,
14,taklel,التقليل,,
15,imala,الإمالة,,
16,taklelw,التقليل وقفا,,
17,imalaw,الإمالة وقفا,,
18,imalah,إمالة هاء التأنيث,,
19,haasakt,هاء السكت,,
20,nakl,النقل,,
21,ibdal,إبدال الهمز,,
22,badal,ثلاثة مدل البدل,,
23,ikhfaa,إخفاء عند الخاء والغين,,
24,yaafath,فتح ياء الإضافة,,
25,hamzatan,الهمزتين,,
26,idghamn,الإدغام بغير غنة,,
27,waqfhamer,وقف هشام,حمزة,
28,haasela,صلة هاء الضمير ,ابن كثير,
29,leenhamz,لين مهموز,,
30,heemee,كسر الهاء والميم,,
31,hoomoo,ضم الهاء والميم وصلا,,
32,basmala,الفصل بين السورتين,,
